YEAR,PalmRR,SOI1,SOI1st,SPDt1,Rt
1130,64.9,-0.287,2.313,0.00008,0.37000
1160,64.2,-0.931,1.669,0.00012,0.50852
1190,37.6,-1.583,1.017,0.00020,0.53208
1220,33.5,-1.482,1.118,0.00035,0.42002
1250,30.08,-0.947,1.653,0.00053,0.51779
1280,23.33,-0.442,2.158,0.00088,0.40587
1310,25,-0.441,2.159,0.00132,0.20326
1340,16.75,-0.220,2.380,0.00162,0.16876
1370,22,0.062,2.662,0.00192,0.12759
1400,27.49,0.460,3.060,0.00218,0.04400
1430,20,0.201,2.801,0.00228,-0.02958
1460,13.2,0.326,2.926,0.00221,-0.19179
1490,10.4,1.029,3.629,0.00183,-0.17038
1520,7.55,1.069,3.669,0.00154,-0.06180
1550,7.4,0.985,3.585,0.00145,-0.00043
1580,7.6,1.079,3.679,0.00145,0.01613
1610,7.6,0.738,3.338,0.00147,-0.00820
1640,7.6,1.296,3.896,0.00146,-0.12530
1670,7.6,1.632,4.232,0.00129,-0.15345
1700,7.6,1.706,4.306,0.00110,-0.06085
1730,7.6,1.258,3.858,0.00104,0.06900
1760,7,0.634,3.234,0.00111,-0.00743
